ParcelID,Mailing Address,Property Address,Cordinate Info
"095925134008
",No result,No result,30.495859 -89.079574 Degrees
"147710100009
",No result,No result,30.495859 -89.079574 Degrees
"096105322006
",No result,No result,30.495859 -89.079574 Degrees
"120724400021
",No result,No result,30.495859 -89.079574 Degrees
"070931323002
",No result,No result,30.495859 -89.079574 Degrees
"070931323024
",No result,No result,30.495859 -89.079574 Degrees
"070931323013
",No result,No result,30.495859 -89.079574 Degrees
"070931323014
",No result,No result,30.495859 -89.079574 Degrees
"147118401003
",No result,No result,30.495859 -89.079574 Degrees
"147118401002
",No result,No result,30.495859 -89.079574 Degrees
"080716308015
",No result,No result,30.495859 -89.079574 Degrees
"080728110037
",No result,No result,30.495859 -89.079574 Degrees
"080721205002
",No result,No result,30.495859 -89.079574 Degrees
"146703114018
",No result,No result,30.495859 -89.079574 Degrees
"080721204006
",No result,No result,30.495859 -89.079574 Degrees
"080722202004
",No result,No result,30.495859 -89.079574 Degrees
"096118412024
",No result,No result,30.495859 -89.079574 Degrees
"096106331009
",No result,No result,30.495859 -89.079574 Degrees
"095909130004
",No result,No result,30.495859 -89.079574 Degrees
"095909328003
",No result,No result,30.495859 -89.079574 Degrees
"096119206004
",No result,No result,30.495859 -89.079574 Degrees
"096118414004
",No result,No result,30.495859 -89.079574 Degrees
"080306223003
",No result,No result,30.495859 -89.079574 Degrees
"096117408021
",No result,No result,30.495859 -89.079574 Degrees
"095923344006
",No result,No result,30.495859 -89.079574 Degrees
"095923344008
",No result,No result,30.495859 -89.079574 Degrees
"095923344009
",No result,No result,30.495859 -89.079574 Degrees
"096110307006
",No result,No result,30.495859 -89.079574 Degrees
"095926318007
",No result,No result,30.495859 -89.079574 Degrees
"146906121012
",No result,No result,30.495859 -89.079574 Degrees
"131120202006
",No result,No result,30.495859 -89.079574 Degrees
"146906123033
",No result,No result,30.495859 -89.079574 Degrees
"096117306003
",No result,No result,30.495859 -89.079574 Degrees
"096108405005
",No result,No result,30.495859 -89.079574 Degrees
"131322409005
",No result,No result,30.495859 -89.079574 Degrees
"096107314004
",No result,No result,30.495859 -89.079574 Degrees
"080536103006
",No result,No result,30.495859 -89.079574 Degrees
"080536103020
",No result,No result,30.495859 -89.079574 Degrees
"096131418002
",No result,No result,30.495859 -89.079574 Degrees
"080536102020
",No result,No result,30.495859 -89.079574 Degrees
"080536102021
",No result,No result,30.495859 -89.079574 Degrees
"131131101010
",No result,No result,30.495859 -89.079574 Degrees
"130927408006
",No result,No result,30.495859 -89.079574 Degrees
"080702105007
",No result,No result,30.495859 -89.079574 Degrees
"080702105008
",No result,No result,30.495859 -89.079574 Degrees
"080733436013
",No result,No result,30.495859 -89.079574 Degrees
"105905321026
",No result,No result,30.495859 -89.079574 Degrees
"095925420008
",No result,No result,30.495859 -89.079574 Degrees
"120728102134
",No result,No result,30.495859 -89.079574 Degrees
"130932410009
",No result,No result,30.495859 -89.079574 Degrees
"096104201002
",No result,No result,30.495859 -89.079574 Degrees
"095926305003
",No result,No result,30.495859 -89.079574 Degrees
"096107226002
",No result,No result,30.495859 -89.079574 Degrees
"095923053037
",No result,No result,30.495859 -89.079574 Degrees
"080514404003
",No result,No result,30.495859 -89.079574 Degrees
"120719000006
",No result,No result,30.495859 -89.079574 Degrees
"080504000030
",No result,No result,30.495859 -89.079574 Degrees
"096313000037
",No result,No result,30.495859 -89.079574 Degrees
"095914217003
",No result,No result,30.495859 -89.079574 Degrees
"095914217004
",No result,No result,30.495859 -89.079574 Degrees
"045533201009
",No result,No result,30.495859 -89.079574 Degrees
"096106421009
",No result,No result,30.495859 -89.079574 Degrees
"095914110010
",No result,No result,30.495859 -89.079574 Degrees
"095901313005
",No result,No result,30.495859 -89.079574 Degrees
"096119101014
",No result,No result,30.495859 -89.079574 Degrees
"095917128008
",No result,No result,30.495859 -89.079574 Degrees
"080302400079
",No result,No result,30.495859 -89.079574 Degrees
"130526300011
",No result,No result,30.495859 -89.079574 Degrees
"080509402003
",No result,No result,30.495859 -89.079574 Degrees
"105728403004
",No result,No result,30.495859 -89.079574 Degrees
"146906227014
",No result,No result,30.495859 -89.079574 Degrees
"095921253002
",No result,No result,30.495859 -89.079574 Degrees
"045533101014
",No result,No result,30.495859 -89.079574 Degrees
"105506106012
",No result,No result,30.495859 -89.079574 Degrees
"096119400015
",No result,No result,30.495859 -89.079574 Degrees
"095925134001
",No result,No result,30.495859 -89.079574 Degrees
"095925134002
",No result,No result,30.495859 -89.079574 Degrees
"146709000005
",No result,No result,30.495859 -89.079574 Degrees
"130926309008
",No result,No result,30.495859 -89.079574 Degrees
"095909334001
",No result,No result,30.495859 -89.079574 Degrees
"095909334002
",No result,No result,30.495859 -89.079574 Degrees
